iter	RMSE
0	5.373720069
1	5.123817919
2	4.904554347
3	4.68324858
4	4.489966805
5	4.315383644
6	4.154823352
7	4.014149685
8	3.871402645
9	3.745787428
10	3.639579649
11	3.540313802
12	3.450137454
13	3.370511209
14	3.29385844
15	3.231114692
16	3.169370301
17	3.119753397
18	3.07130587
19	3.028215517
20	2.984765946
21	2.951679344
22	2.915014751
23	2.885497593
24	2.854344182
25	2.828242428
26	2.804442504
27	2.782373243
28	2.759200191
29	2.735555924
30	2.718688305
31	2.703921216
32	2.689192929
33	2.671427496
34	2.658317065
35	2.646244455
36	2.634990512
37	2.623099626
38	2.613157108
39	2.600609034
40	2.590338355
41	2.581375277
42	2.572175915
43	2.564010491
44	2.556279305
45	2.545938915
46	2.538459789
47	2.527206399
48	2.520043378
49	2.513962137
50	2.504998789
51	2.49851371
52	2.491662514
53	2.483748504
54	2.478564079
55	2.472151644
56	2.46256474
57	2.457608393
58	2.450432061
59	2.444961703
60	2.438389886
61	2.434124103
62	2.427949985
63	2.421116614
64	2.416960575
65	2.411130492
66	2.407082929
67	2.402600681
68	2.399191333
69	2.396368833
70	2.390845649
71	2.387940234
72	2.385598629
73	2.380807678
74	2.375001518
75	2.369795861
76	2.366395176
77	2.363742699
78	2.357537577
79	2.354298485
80	2.350324111
81	2.347124734
82	2.344910296
83	2.342974101
84	2.339854318
85	2.337486866
86	2.335047361
87	2.333045197
88	2.330871258
89	2.326709517
90	2.32303685
91	2.320879843
92	2.316866903
93	2.315259978
94	2.312090764
95	2.30911533
96	2.306600911
97	2.30283442
98	2.300079154
99	2.29750179
100	2.293756067
101	2.289946284
102	2.28612184
103	2.284229675
104	2.282100305
105	2.278504682
106	2.276374312
107	2.273376138
108	2.270699259
109	2.268497165
110	2.266604975
111	2.264045062
112	2.260888189
113	2.258120495
114	2.255525988
115	2.253184703
116	2.252006281
117	2.247871142
118	2.245907923
119	2.244077662
120	2.242413338
121	2.240377871
122	2.238370085
123	2.234893452
124	2.233415846
125	2.231657563
126	2.229315748
127	2.22703686
128	2.224348062
129	2.221608459
130	2.219413954
131	2.217937678
132	2.215314269
133	2.2142609
134	2.212226604
135	2.21060092
136	2.208873217
137	2.206181787
138	2.204486982
139	2.201280825
140	2.199777071
141	2.197405569
142	2.195419738
143	2.193475996
144	2.191877379
145	2.190736262
146	2.188204318
147	2.186134907
148	2.184545447
149	2.182867031
150	2.179633925
151	2.177835475
152	2.176647044
153	2.175040721
154	2.174097268
155	2.171851547
156	2.169585666
157	2.167805815
158	2.166718549
159	2.163746084
160	2.161727574
161	2.159805478
162	2.158480567
163	2.156713031
164	2.154783274
165	2.153483405
166	2.151742122
167	2.148626668
168	2.146967249
169	2.145924446
170	2.143465077
171	2.140793098
172	2.139054699
173	2.137752819
174	2.136223234
175	2.135118558
176	2.134007549
177	2.132232562
178	2.130930739
179	2.12935327
180	2.127819483
181	2.125791087
182	2.123430682
183	2.122353188
184	2.120824323
185	2.118582485
186	2.117524931
187	2.116358688
188	2.115394248
189	2.114131884
190	2.112472766
191	2.110704301
192	2.109280104
193	2.108507135
194	2.107669514
195	2.106526571
196	2.105521704
197	2.104817669
198	2.102585246
199	2.101807068
200	2.100214083
201	2.098958465
202	2.097529374
203	2.096668062
204	2.094943103
205	2.093644501
206	2.092934665
207	2.09175831
208	2.090360193
209	2.08934325
210	2.087596436
211	2.086685135
212	2.08474757
213	2.084017041
214	2.083156587
215	2.082245749
216	2.081578209
217	2.080538497
218	2.079152673
219	2.078328355
220	2.077389908
221	2.076468222
222	2.07577305
223	2.074432238
224	2.07335856
225	2.072750402
226	2.071640006
227	2.070454162
228	2.069427889
229	2.068241422
230	2.067378346
231	2.06630173
232	2.065551165
233	2.064251453
234	2.063531277
235	2.062982026
236	2.061871009
237	2.060280523
238	2.059157908
239	2.057657531
240	2.056772182
241	2.055914209
242	2.054882753
243	2.054135635
244	2.052946393
245	2.05222135
246	2.051256543
247	2.050173044
248	2.048955226
249	2.047441234
250	2.046416684
251	2.045312418
252	2.04467568
253	2.043901442
254	2.043217038
255	2.04261012
256	2.041872565
257	2.040995552
258	2.040342906
259	2.039519914
260	2.038795255
261	2.03741518
262	2.036921614
263	2.03621879
264	2.035476002
265	2.034794898
266	2.034381594
267	2.033672411
268	2.032852792
269	2.032063271
270	2.031498352
271	2.030452232
272	2.029412294
273	2.028786378
274	2.027597204
275	2.026915819
276	2.026547879
277	2.025818275
278	2.025293029
279	2.023655357
280	2.023076814
281	2.021197426
282	2.02077896
283	2.020082949
284	2.019433053
285	2.018131602
286	2.0176281
287	2.016941738
288	2.016062987
289	2.015091146
290	2.014161442
291	2.013971714
292	2.013157938
293	2.011951778
294	2.011120784
295	2.010258455
296	2.009526541
297	2.008518699
298	2.007769906
299	2.007188188
300	2.006234258
301	2.005551741
302	2.004026109
303	2.003398828
304	2.002793982
305	2.002256757
306	2.001473588
307	2.000535643
308	2.000012676
309	1.999302904
310	1.998710303
311	1.997498754
312	1.997005654
313	1.996169698
314	1.995468635
315	1.99502362
316	1.994398721
317	1.99346047
318	1.9930971
319	1.992607694
320	1.991808913
321	1.991093546
322	1.990663446
323	1.989880416
324	1.989156143
325	1.988469094
326	1.988334028
327	1.987286738
328	1.986711715
329	1.98620702
330	1.985767914
331	1.985331868
332	1.984393685
333	1.983962017
334	1.983422743
335	1.982224567
336	1.981442573
337	1.980496441
338	1.979751576
339	1.979323583
