iter	Passed	Remaining
0	160	160429
1	166	83037
2	171	57061
3	176	44042
4	181	36196
5	187	30986
6	192	27324
7	197	24466
8	202	22287
9	207	20540
10	212	19104
11	217	17906
12	222	16875
13	226	15978
14	231	15187
15	236	14514
16	241	13937
17	245	13396
18	250	12912
19	255	12520
20	260	12145
21	265	11786
22	270	11471
23	274	11173
24	279	10895
25	284	10640
26	288	10411
27	293	10196
28	298	9995
29	303	9801
30	307	9624
31	312	9448
32	316	9285
33	321	9140
34	326	9002
35	331	8871
36	335	8744
37	341	8637
38	345	8519
39	350	8411
40	355	8307
41	361	8239
42	366	8150
43	370	8059
44	375	7970
45	380	7891
46	385	7808
47	390	7740
48	394	7663
49	399	7590
50	404	7532
51	409	7463
52	413	7395
53	418	7332
54	423	7270
55	427	7212
56	432	7158
57	438	7122
58	444	7083
59	448	7032
60	455	7018
61	460	6970
62	465	6923
63	470	6882
64	475	6836
65	480	6794
66	485	6755
67	489	6713
68	494	6671
69	498	6625
70	503	6591
71	508	6548
72	512	6511
73	517	6481
74	522	6446
75	527	6413
76	532	6379
77	536	6345
78	542	6320
79	546	6283
80	551	6254
81	555	6219
82	560	6197
83	566	6173
84	571	6156
85	577	6137
86	582	6115
87	588	6094
88	593	6072
89	598	6055
90	604	6034
91	609	6012
92	614	5995
93	619	5974
94	624	5950
95	629	5924
96	634	5904
97	639	5884
98	644	5861
99	649	5845
100	654	5825
101	660	5813
102	665	5798
103	670	5777
104	675	5756
105	680	5739
106	685	5722
107	690	5704
108	695	5685
109	700	5666
110	704	5644
111	709	5626
112	714	5607
113	719	5591
114	724	5573
115	729	5559
116	734	5539
117	738	5523
118	743	5506
119	748	5488
120	752	5467
121	757	5448
122	762	5437
123	767	5422
124	771	5402
125	776	5385
126	781	5370
127	785	5353
128	791	5342
129	799	5351
130	808	5360
131	815	5359
132	824	5377
133	833	5385
134	841	5391
135	848	5389
136	854	5384
137	861	5378
138	867	5373
139	874	5371
140	881	5368
141	888	5365
142	894	5359
143	900	5350
144	905	5340
145	911	5329
146	917	5321
147	922	5311
148	928	5304
149	934	5295
150	940	5287
151	946	5283
152	952	5273
153	959	5268
154	964	5260
155	971	5254
156	977	5249
157	983	5242
158	989	5235
159	995	5226
160	1001	5217
161	1007	5212
162	1013	5206
163	1020	5203
164	1027	5198
165	1033	5192
166	1039	5186
