iter	RMSE
0	5.306852677
1	4.954602819
2	4.623295812
3	4.322088919
4	4.037689536
5	3.772597267
6	3.527203358
7	3.294138558
8	3.080238275
9	2.884312849
10	2.700075533
11	2.528570299
12	2.367209497
13	2.222405082
14	2.084278526
15	1.956186407
16	1.837122573
17	1.729227417
18	1.629477863
19	1.536479169
20	1.449861158
21	1.370441491
22	1.295993538
23	1.230263194
24	1.167977148
25	1.110138581
26	1.056317341
27	1.00880468
28	0.964212731
29	0.924813811
30	0.8878762666
31	0.8518219586
32	0.8209334216
33	0.7934257565
34	0.7677889342
35	0.7449329382
36	0.7241851442
37	0.7054038307
38	0.687949252
39	0.6719463127
40	0.6570448894
41	0.6435528549
42	0.6323431866
43	0.6214699416
44	0.6113503307
45	0.6035853243
46	0.5957870211
47	0.5886381827
48	0.5823516624
49	0.5758729582
50	0.5694902977
51	0.5640199679
52	0.5598177012
53	0.555085632
54	0.5512356415
55	0.5472473258
56	0.5440252353
57	0.5405272938
58	0.5379544466
59	0.5354966007
60	0.5330099652
61	0.5307636852
62	0.5286308902
63	0.5268325588
64	0.5253064276
65	0.5229722655
66	0.5209173707
67	0.5194193426
68	0.518377637
69	0.5172196064
70	0.5157114641
71	0.5145800996
72	0.5135171499
73	0.5123275727
74	0.5114479588
75	0.5100109943
76	0.5088701756
77	0.5076487572
78	0.5060945331
79	0.505235257
80	0.5041658646
81	0.5034156131
82	0.5022872891
83	0.50141473
84	0.5006669783
85	0.4996767227
86	0.4990103942
87	0.498155537
88	0.4973512555
89	0.4962412428
90	0.4957042369
91	0.495065339
92	0.4944002323
93	0.4937195716
94	0.4932228633
95	0.492220035
96	0.4915897782
97	0.4911657493
98	0.4904851652
99	0.4897933071
100	0.4891339147
101	0.4883602039
102	0.4878853554
103	0.4873120055
104	0.4866118177
105	0.4862788371
106	0.4859650762
107	0.4852638851
108	0.4847646622
109	0.4839288978
110	0.4833275309
111	0.4827884254
112	0.4820649846
113	0.4817347487
114	0.4811086229
115	0.4807611524
116	0.4802750946
117	0.4800785119
118	0.4796279611
119	0.4789954639
120	0.4786319539
121	0.4782080646
122	0.4778089901
123	0.4773268949
124	0.4768463446
125	0.4763656284
126	0.4759758717
127	0.4755730682
128	0.4750711591
129	0.4744635676
130	0.4742887429
131	0.4739213588
132	0.4735631355
133	0.4731630904
134	0.4727544146
135	0.4723687345
136	0.4719558403
137	0.4715491657
138	0.4711465757
139	0.4707657906
140	0.470324022
141	0.4697899971
142	0.4694023448
143	0.4690499934
144	0.4684416778
145	0.4680687728
146	0.4675690166
147	0.4671824943
148	0.4669218907
149	0.4664794104
150	0.466113959
151	0.4655211184
152	0.465251247
153	0.4648954773
154	0.4644667418
155	0.4641257934
156	0.4637707849
157	0.4634088555
158	0.462848537
159	0.4624861339
160	0.4622592861
161	0.4619125803
162	0.4616045972
163	0.4613195494
164	0.4609617726
165	0.4607870416
166	0.46045903
167	0.4601925352
168	0.4598656586
169	0.4593756369
170	0.4591123407
171	0.4587132413
172	0.4584637114
173	0.4581247222
174	0.4578614243
175	0.457662157
176	0.4573777369
177	0.4569483256
178	0.4566992983
179	0.4565612545
180	0.4561408236
181	0.4558807572
182	0.4556665636
183	0.4553465615
184	0.4550716834
185	0.4548728944
186	0.4546028097
187	0.4543301342
188	0.4539628891
189	0.4536278559
190	0.4533419828
191	0.4530042067
192	0.4524769548
193	0.4520762041
194	0.4518214166
195	0.4515777696
196	0.4510792449
197	0.4508709613
198	0.4506726337
199	0.4503087244
200	0.4500636882
201	0.4497906998
202	0.4496395059
203	0.4492743392
204	0.4488872647
205	0.4486095722
206	0.4483371754
207	0.448127051
208	0.4478587747
209	0.4475619543
210	0.4472839085
211	0.4469284316
212	0.446571687
213	0.4464420093
214	0.4461954915
215	0.445929026
216	0.4455481911
217	0.4453325616
218	0.4451013191
219	0.4448217987
220	0.444565888
221	0.4443798378
222	0.4441967572
223	0.4439253167
224	0.4435558281
225	0.4433879284
226	0.4431764562
227	0.4429437219
228	0.4427945492
229	0.4426184572
230	0.44241424
231	0.442202839
232	0.4420309653
233	0.4418447468
234	0.4417214895
235	0.4415729638
236	0.4412642774
237	0.4410715622
238	0.4407787553
239	0.4404395824
240	0.4402506076
241	0.4400382553
242	0.4399193687
243	0.4397964904
244	0.4395123699
245	0.4393543675
246	0.4391702886
247	0.4389071448
248	0.4386858832
249	0.4385158603
250	0.4381414871
251	0.4379489995
252	0.4377412833
253	0.4375282426
254	0.4373979845
255	0.4371023445
256	0.436907205
257	0.4367252651
258	0.4365351015
259	0.436405298
260	0.4362043848
261	0.4361044855
262	0.435755805
263	0.4356047221
264	0.4355503296
265	0.4353166294
266	0.435095833
267	0.4348142087
268	0.4347273852
269	0.4345390826
270	0.4344548964
271	0.4341399214
272	0.4340118248
273	0.4337650498
274	0.4335030676
275	0.4333746894
276	0.4332863329
277	0.4331028707
278	0.4328566142
279	0.4327069284
280	0.4324959557
281	0.4322737072
282	0.4320794766
283	0.4319402213
284	0.4318650732
285	0.4316483019
286	0.4314587662
287	0.4312338327
288	0.4311531895
289	0.4309861903
290	0.430775341
291	0.4306990297
292	0.4305092309
293	0.4303010698
294	0.4301732351
295	0.4300039427
296	0.429870941
297	0.4297206431
298	0.4294933022
299	0.429347548
300	0.4291704714
301	0.4289543077
302	0.4287879132
303	0.4285895463
304	0.4283346758
305	0.4281596582
306	0.4280320979
307	0.4277884802
308	0.4276253196
309	0.4275932058
310	0.4273797349
311	0.4271836028
312	0.4270307744
313	0.4269298552
314	0.4266591487
315	0.4265073141
316	0.4263399866
317	0.4261660858
318	0.4260153298
319	0.4258548427
320	0.4257349992
321	0.4255818425
322	0.4253608806
323	0.4253355237
324	0.4252175384
325	0.4250085401
326	0.424810873
327	0.4246394723
328	0.4244446717
329	0.424322345
330	0.4241769967
331	0.4240506012
332	0.4239173406
333	0.4237992085
334	0.4236505635
335	0.4235988461
336	0.4234532784
337	0.4232727484
338	0.4231255429
339	0.4229596748
340	0.4228482676
341	0.4226734601
342	0.4225704505
343	0.4223822023
344	0.4222818872
345	0.4221882905
346	0.422130309
347	0.4219455322
348	0.4218483179
349	0.4217136337
350	0.4215721651
351	0.4214043968
352	0.4211828258
353	0.4209768465
354	0.4208795731
355	0.4207501059
356	0.42057758
357	0.4204037044
358	0.420201151
359	0.4200840209
360	0.4199365576
361	0.4198068505
362	0.4196941707
363	0.4195746202
364	0.4194474347
365	0.4193518512
366	0.4192160533
367	0.4191010118
368	0.418967966
369	0.4187733037
370	0.4186461747
371	0.4184576961
372	0.41836122
373	0.4182788993
374	0.4181071777
375	0.4179092386
376	0.4178065871
377	0.4176366889
378	0.4175496472
379	0.417423109
380	0.4172941314
381	0.4171076325
382	0.4168180555
383	0.41674935
384	0.4166716472
385	0.4164892507
386	0.4163285576
387	0.4162362015
388	0.4161131958
389	0.4158922276
390	0.4157661896
391	0.4156584121
392	0.4154998053
393	0.4153842099
394	0.4152610383
395	0.4150758921
396	0.4149650472
397	0.4148737997
398	0.414764374
399	0.4146399599
400	0.4145363131
401	0.4144450895
402	0.4143055764
403	0.4142323642
404	0.4140901504
405	0.4140158437
406	0.413893582
407	0.4137901144
408	0.4136487238
409	0.4134795839
410	0.4133444212
411	0.4132347995
412	0.4131685911
413	0.4131104514
414	0.4130557207
415	0.4129123947
416	0.4127699345
417	0.4126678143
418	0.4124865948
419	0.4123338862
420	0.4122494559
421	0.4121944853
422	0.4121387108
423	0.4120000001
424	0.4118895235
425	0.4117719258
426	0.4116811871
427	0.4115984172
428	0.4113808099
429	0.4112472622
430	0.4111457773
431	0.4110314159
432	0.4109246168
433	0.4108629563
434	0.4107156859
435	0.4105772535
436	0.410507397
437	0.4102710467
438	0.4101453854
439	0.4100280451
440	0.4099556741
441	0.4098115926
442	0.4096837576
443	0.4095239828
444	0.4094552154
445	0.4093299006
446	0.4092391893
447	0.409116199
448	0.4089996223
449	0.4089112585
450	0.4087729341
451	0.4086750631
452	0.4085083159
453	0.4084305321
454	0.4082638942
455	0.4081463051
456	0.4080583062
457	0.4078465396
458	0.407711173
459	0.4075229697
460	0.4074080482
461	0.4072066043
462	0.4071419464
463	0.4070977083
464	0.4069750402
465	0.4068704241
466	0.4067509042
467	0.4066780704
468	0.4065424166
469	0.406404852
470	0.4062840474
471	0.4061644425
472	0.4061217615
473	0.4059744047
474	0.4058471223
475	0.4057642409
476	0.4056340113
477	0.4055300169
