iter	Passed	Remaining
0	204	203995
1	283	141314
2	334	111226
3	383	95415
4	452	90022
5	549	90962
6	629	89234
7	723	89685
8	764	84203
9	830	82249
10	891	80129
11	964	79416
12	1050	79746
13	1173	82627
14	1259	82679
15	1392	85625
16	1544	89303
17	1712	93443
18	1805	93244
19	1881	92190
20	2004	93443
21	2113	93968
22	2207	93762
23	2274	92486
24	2389	93197
25	2442	91501
26	2576	92836
27	2642	91715
28	2687	89995
29	2750	88920
30	2802	87616
31	2853	86310
32	2901	85027
33	2949	83792
34	2993	82527
35	3019	80845
36	3056	79561
37	3100	78481
38	3163	77941
39	3211	77072
40	3256	76161
41	3302	75335
42	3357	74717
43	3397	73826
44	3451	73241
45	3581	74283
46	3761	76276
47	3868	76734
48	3970	77053
49	4104	77991
50	4193	78031
51	4257	77615
52	4307	76966
53	4369	76546
54	4425	76044
55	4482	75556
56	4514	74685
57	4571	74255
58	4610	73532
59	4648	72827
60	4703	72400
61	4755	71939
62	4805	71478
63	4845	70871
64	4886	70286
65	4925	69700
66	4976	69300
67	5025	68877
68	5071	68425
69	5114	67950
70	5156	67473
71	5197	66994
72	5230	66425
73	5269	65940
74	5306	65447
75	5352	65070
76	5372	64404
77	5412	63979
78	5449	63536
79	5523	63516
80	5578	63288
81	5628	63009
82	5661	62554
83	5707	62243
84	5767	62083
85	5824	61900
86	5864	61540
87	5910	61256
88	5946	60870
89	6007	60741
90	6062	60554
91	6107	60277
92	6165	60134
93	6207	59830
94	6253	59576
95	6294	59272
96	6340	59026
97	6384	58765
98	6413	58365
99	6451	58062
100	6496	57826
101	6522	57425
102	6557	57105
103	6596	56833
104	6635	56563
105	6687	56405
106	6720	56086
107	6771	55931
108	6821	55757
109	6878	55655
110	6912	55360
111	6939	55019
112	6969	54710
113	7013	54510
114	7049	54248
115	7092	54053
116	7134	53844
117	7170	53593
118	7213	53402
119	7246	53143
120	7283	52911
121	7339	52819
122	7375	52590
123	7423	52446
124	7468	52280
125	7503	52045
126	7563	51989
127	7600	51778
128	7641	51597
129	7692	51479
130	7742	51363
131	7780	51165
132	7827	51027
133	7876	50902
134	7928	50801
135	7972	50650
136	8019	50515
137	8053	50302
138	8096	50151
139	8158	50119
140	8200	49958
141	8241	49796
142	8275	49592
143	8315	49431
144	8348	49230
145	8384	49042
146	8411	48807
147	8451	48652
148	8480	48437
149	8521	48286
150	8564	48151
151	8602	47994
152	8644	47854
153	8682	47699
154	8724	47560
155	8762	47405
156	8821	47364
157	8877	47309
158	8926	47215
159	8975	47120
160	9046	47144
161	9116	47159
162	9190	47191
163	9264	47228
164	9353	47335
