iter	RMSE
0	5.270238748
1	4.929788258
2	4.599713154
3	4.297148586
4	4.013930567
5	3.748186092
6	3.504182754
7	3.277020062
8	3.058502785
9	2.859876867
10	2.675007375
11	2.503899883
12	2.343137176
13	2.195632758
14	2.058892694
15	1.932813814
16	1.818873903
17	1.710678185
18	1.609351462
19	1.517488953
20	1.433557907
21	1.357520656
22	1.286998499
23	1.223439817
24	1.161652844
25	1.105264233
26	1.053192566
27	1.006112543
28	0.9619142969
29	0.9213886618
30	0.8851148992
31	0.8532292834
32	0.8227614867
33	0.795050393
34	0.7720215596
35	0.7494764292
36	0.728029291
37	0.7079593664
38	0.6909614091
39	0.6747646464
40	0.6607326382
41	0.6473396466
42	0.6353722542
43	0.6249539347
44	0.6136769456
45	0.605468054
46	0.5973663275
47	0.5894498755
48	0.5826069313
49	0.5758072597
50	0.5708771362
51	0.5645928432
52	0.5595828856
53	0.5542588938
54	0.5499768074
55	0.5464315274
56	0.5428702093
57	0.5395997809
58	0.5367036462
59	0.5340443706
60	0.5308332534
61	0.528366282
62	0.5258338673
63	0.5237583087
64	0.5218156792
65	0.5196651225
66	0.5171570958
67	0.5157873911
68	0.5137077046
69	0.5122585508
70	0.5105056782
71	0.5092544685
72	0.5073839415
73	0.5061033467
74	0.5052803107
75	0.5041092589
76	0.5029246605
77	0.5016787239
78	0.499979704
79	0.499208201
80	0.4983342362
81	0.497455063
82	0.4961684216
83	0.4951684715
84	0.4942743943
85	0.4932407896
86	0.4920255193
87	0.4910773792
88	0.4904557017
89	0.4897301466
90	0.4890679934
91	0.4883250352
92	0.4878424902
93	0.4872750293
94	0.4864734018
95	0.4856474529
96	0.4852606932
97	0.4841998092
98	0.4833552942
99	0.4827645889
100	0.4819609728
101	0.4813632992
102	0.4808104069
103	0.4803503377
104	0.4796936863
105	0.4792209728
106	0.4783749222
107	0.4779725123
108	0.4774404184
109	0.4767030195
110	0.4761163827
111	0.4756626049
112	0.4751622314
113	0.4744975653
114	0.4740570436
115	0.4735783656
116	0.472943226
117	0.4725851606
118	0.4721207864
119	0.4716012848
120	0.4713287016
121	0.4707397365
122	0.4702317148
123	0.4698636352
124	0.4694116816
125	0.4690131186
126	0.4684685992
127	0.4679779166
128	0.4674387495
129	0.4671022437
130	0.4666368298
131	0.4662076764
132	0.4657447776
133	0.4653824272
134	0.464818799
135	0.4643457407
136	0.4640920201
137	0.4637889034
138	0.4631715507
139	0.4627566051
140	0.4623795887
141	0.4619450843
142	0.4614586267
143	0.4612313886
144	0.4608987582
145	0.4606582668
146	0.460460305
147	0.4602289822
148	0.4596829465
149	0.4591019907
150	0.458757338
151	0.4584556206
152	0.4582439155
153	0.4578971795
154	0.4574245052
155	0.4571565446
156	0.4568274738
157	0.4563873192
158	0.4559172018
159	0.4554550305
160	0.4550636389
161	0.45471038
162	0.4544826177
163	0.4541020142
164	0.453792061
165	0.4534350611
166	0.4530775535
167	0.4528098685
168	0.4523789842
169	0.452217266
170	0.4519245335
171	0.4515285993
172	0.4511152954
173	0.4508152232
174	0.4505657046
175	0.4503700362
176	0.4500471055
177	0.4497061029
178	0.4494114706
179	0.4492163638
180	0.4488060032
181	0.4484037527
182	0.4480280076
183	0.4475662356
184	0.4473453108
185	0.4470770623
186	0.4467819826
187	0.446552069
188	0.4461050116
189	0.4457140069
190	0.4454239692
191	0.4452626596
192	0.4446408775
193	0.4444378623
194	0.4441744851
195	0.4439695597
196	0.443640848
197	0.4434119034
198	0.44326449
199	0.4430535199
200	0.4428048967
201	0.4424961884
202	0.4421920363
203	0.44188851
204	0.4415302959
205	0.4412415122
206	0.4410949604
207	0.4408527731
208	0.4404901761
209	0.4402512387
210	0.439926568
211	0.4397040227
212	0.4395284817
213	0.4393446138
214	0.4388270942
215	0.4383643214
216	0.4381058434
217	0.4378878487
218	0.4376742474
219	0.4374791132
220	0.4371868987
221	0.4369199977
222	0.4365855691
223	0.4362944033
224	0.4360359809
225	0.4358169606
226	0.4354605286
227	0.4352071295
228	0.4350267942
229	0.4347118839
230	0.4345437507
231	0.4343229505
232	0.4341475628
233	0.4339957546
234	0.4338716296
235	0.4336721156
236	0.4333899882
237	0.4331376302
238	0.4329430638
239	0.4327389594
240	0.4324440126
241	0.4321243067
242	0.4319501348
243	0.4318115798
244	0.4316665804
245	0.4315702492
246	0.431388855
247	0.4312372356
248	0.4309316771
249	0.4307711874
250	0.4305735464
251	0.4304065528
252	0.4301945106
253	0.4300803748
254	0.4299843017
255	0.4297040062
256	0.4295689768
257	0.4292979996
258	0.4291447912
259	0.4288180974
260	0.4286285272
261	0.4284669682
262	0.4283102621
263	0.4281161813
264	0.4279931891
265	0.427792218
266	0.4276423061
267	0.4275197361
268	0.4273859763
269	0.4272120873
270	0.4269642114
271	0.4268336286
272	0.4266965517
273	0.4265885991
274	0.4264355443
275	0.4262257003
276	0.426047512
277	0.4259733471
278	0.4257690652
279	0.4255991606
280	0.4254601348
281	0.4252513012
282	0.4251108677
283	0.4248773508
284	0.4247428016
285	0.4245783126
286	0.4243452738
287	0.4242317017
288	0.4240269669
289	0.4239499497
290	0.4236857952
291	0.4235511873
292	0.423226417
293	0.4230866735
294	0.4230000494
295	0.4228437597
296	0.4226707602
297	0.4224696784
298	0.422247995
299	0.4221067854
300	0.4219424855
301	0.4217759264
302	0.4215684763
303	0.421251792
304	0.4210856195
305	0.4208993157
306	0.4207802074
307	0.4206321568
308	0.4204718198
309	0.4203687171
310	0.4201804055
311	0.420103747
312	0.4199324855
313	0.4197481987
314	0.4194874181
315	0.4192209665
316	0.4191195212
317	0.4190043861
318	0.4188647322
319	0.4187853032
320	0.418637063
321	0.4184599306
322	0.4182751207
323	0.4181271753
324	0.4179680394
325	0.4178149247
326	0.4177065046
327	0.4175650865
328	0.4173568611
329	0.4172647687
330	0.417167096
331	0.4170982428
332	0.4169181953
333	0.4167915166
334	0.4166774287
335	0.4164974911
336	0.4163518398
337	0.4160949399
338	0.4159464038
339	0.4157286197
340	0.4155099577
341	0.4153968178
342	0.4153006699
343	0.4150902212
344	0.4150266726
345	0.4148923853
346	0.4147205185
347	0.4145024707
348	0.4143350766
349	0.414135732
350	0.4139931143
351	0.4138249319
352	0.4137272525
353	0.4135786795
354	0.4134621841
355	0.4131974323
356	0.4130831534
357	0.4129615744
358	0.4128623092
359	0.4127016427
360	0.4125895507
361	0.4124795061
362	0.4122745223
363	0.4121322958
364	0.4119353053
365	0.4117764823
366	0.4116807755
367	0.4115402243
368	0.4114866842
369	0.4114116365
370	0.4112266368
371	0.4110930996
372	0.4108712988
373	0.4107354515
374	0.4106211509
