iter	Passed	Remaining
0	157	157685
1	177	88421
2	199	66151
3	220	54873
4	241	48055
5	261	43395
6	294	41812
7	315	39133
8	335	36962
9	355	35151
10	369	33191
11	386	31798
12	404	30707
13	425	29963
14	446	29342
15	467	28768
16	495	28674
17	524	28634
18	545	28143
19	559	27403
20	587	27381
21	610	27148
22	631	26826
23	647	26329
24	661	25784
25	679	25456
26	703	25349
27	721	25060
28	743	24881
29	758	24539
30	778	24321
31	798	24146
32	825	24201
33	843	23963
34	864	23833
35	894	23957
36	915	23830
37	938	23763
38	952	23472
39	978	23475
40	998	23346
41	1022	23323
42	1041	23179
43	1063	23116
44	1085	23043
45	1100	22829
46	1115	22624
47	1128	22385
48	1141	22162
49	1165	22135
50	1185	22053
51	1206	21995
52	1226	21909
53	1240	21723
54	1255	21578
55	1273	21469
56	1296	21445
57	1319	21427
58	1337	21333
59	1355	21237
60	1376	21189
61	1394	21090
62	1411	20992
63	1430	20921
64	1449	20843
65	1469	20798
66	1495	20819
67	1515	20765
68	1535	20713
69	1552	20630
70	1576	20623
71	1601	20635
72	1618	20549
73	1632	20432
74	1656	20427
75	1677	20398
76	1700	20379
77	1726	20404
78	1744	20333
79	1762	20270
80	1782	20219
81	1804	20202
82	1824	20153
83	1843	20107
84	1863	20055
85	1881	19999
86	1904	19983
87	1924	19949
88	1940	19865
89	1960	19822
90	1981	19792
91	2003	19776
92	2019	19698
93	2035	19620
94	2055	19585
95	2083	19618
96	2108	19625
97	2130	19608
98	2152	19592
99	2172	19553
100	2191	19504
101	2207	19437
102	2224	19368
103	2242	19319
104	2262	19283
105	2290	19315
106	2318	19347
107	2340	19328
108	2361	19307
109	2381	19266
110	2400	19224
111	2415	19154
112	2442	19171
113	2478	19261
114	2512	19338
115	2535	19323
116	2560	19320
117	2582	19302
118	2600	19254
119	2616	19184
120	2635	19144
121	2656	19115
122	2671	19045
123	2691	19017
124	2712	18985
125	2731	18944
126	2751	18917
127	2778	18927
128	2802	18923
129	2824	18904
130	2846	18883
131	2868	18859
132	2888	18828
133	2911	18814
134	2933	18794
135	2957	18790
136	2978	18763
137	3005	18774
138	3027	18751
139	3058	18789
140	3083	18785
141	3105	18763
142	3132	18774
143	3162	18798
144	3186	18789
145	3204	18744
146	3223	18707
147	3254	18734
148	3288	18780
149	3340	18930
150	3383	19025
151	3410	19025
152	3461	19162
153	3500	19232
154	3540	19299
155	3572	19327
156	3607	19367
157	3635	19375
158	3664	19380
159	3704	19447
160	3741	19498
161	3836	19847
162	3974	20410
163	4003	20405
164	4031	20403
165	4061	20403
166	4096	20435
167	4154	20572
168	4202	20662
169	4233	20669
170	4265	20678
171	4308	20742
172	4368	20884
173	4408	20929
174	4452	20992
175	4497	21057
176	4556	21185
177	4604	21262
178	4634	21255
179	4662	21238
180	4701	21271
181	4735	21283
182	4766	21277
183	4783	21214
184	4806	21172
185	4847	21215
186	4873	21188
187	4914	21224
188	4950	21243
189	4984	21248
190	5024	21280
191	5073	21352
192	5143	21507
193	5243	21785
194	5297	21870
195	5345	21929
196	5387	21959
197	5456	22100
198	5540	22300
199	5583	22332
200	5629	22378
201	5690	22479
202	5762	22625
203	5851	22833
204	5902	22889
205	5995	23110
206	6036	23123
207	6085	23171
208	6130	23201
209	6184	23264
210	6219	23258
211	6254	23246
212	6298	23271
213	6337	23276
214	6410	23404
215	6449	23408
216	6497	23445
217	6538	23454
218	6610	23574
219	6676	23669
220	6701	23622
221	6727	23578
222	6973	24297
223	7044	24403
224	7070	24355
225	7126	24405
226	7155	24366
227	7199	24378
228	7253	24420
229	7301	24444
230	7364	24516
231	7407	24520
232	7441	24495
233	7464	24435
234	7500	24418
235	7546	24430
236	7606	24486
237	7654	24508
238	7693	24495
239	7735	24495
240	7779	24499
241	7812	24470
242	7851	24458
243	7889	24445
244	7923	24417
245	7962	24404
246	7997	24379
247	8034	24363
248	8048	24275
249	8102	24308
250	8140	24291
251	8150	24191
252	8186	24172
253	8222	24148
254	8264	24146
255	8287	24085
256	8328	24076
257	8372	24079
258	8412	24069
