description,result_timestamp,lamax,laeq,lceq,lcpeak,month
MP 01: Naamsestraat 35  Maxim,2022-02-28 08:20:00,61.254568527918764,59.89289340101523,70.72918781725889,82.077461928934,2.0
MP 01: Naamsestraat 35  Maxim,2022-02-28 08:30:00,56.526999999999994,54.628999999999955,65.91175000000003,77.52171666666666,2.0
MP 01: Naamsestraat 35  Maxim,2022-02-28 08:40:00,59.56305732484078,57.75636942675159,65.89681528662419,77.86697452229305,2.0
MP 01: Naamsestraat 35  Maxim,2022-02-28 08:50:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:00:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:10:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:20:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:30:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:40:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 09:50:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:00:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:10:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:20:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:30:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:40:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 10:50:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:00:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:10:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:20:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:30:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:40:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 11:50:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 12:00:00,,,,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 12:10:00,,,,,
