description,result_timestamp,lamax,laeq,lceq,lcpeak
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:00:00,55.61049999999996,53.48899999999999,63.802900000000044,75.38449999999999
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:10:00,55.50849999999996,53.47666666666673,64.17893333333333,75.71341666666667
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:20:00,56.766500000000036,54.47950000000002,63.94423333333334,75.51501666666674
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:30:00,56.965666666666635,54.200166666666654,63.02186666666665,74.91848333333336
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:40:00,56.396666666666675,53.803166666666684,63.12600000000002,74.96378333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:50:00,56.74983333333337,54.37633333333328,64.60238333333328,76.3787166666666
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:00:00,57.71699999999999,55.38966666666665,65.29041666666667,77.13646666666662
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:10:00,57.77450000000002,55.30333333333339,65.4611666666667,77.42979999999996
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:20:00,56.30733333333333,53.925166666666655,64.76364999999997,76.69685000000013
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:30:00,53.482333333333344,51.129833333333316,62.96706666666665,74.64349999999999
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:40:00,54.89050000000003,52.69716666666667,64.58303333333333,76.07128333333331
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:50:00,54.28166666666671,51.935833333333306,64.7349333333334,76.33693333333342
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:00:00,53.853500000000004,51.265666666666654,63.14439999999995,74.67621666666668
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:10:00,51.68600000000001,49.271166666666616,62.83098333333328,74.21395000000007
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:20:00,50.862333333333304,48.466666666666654,61.57520000000003,73.00076666666662
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:30:00,48.57533333333328,46.23916666666661,60.58361666666668,72.0672833333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:40:00,50.9993333333333,48.55483333333328,60.657299999999985,72.47926666666669
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:50:00,50.46883333333334,47.876666666666694,60.06635000000004,71.9274833333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:00:00,49.30333333333332,46.544333333333334,59.75921666666665,71.48523333333328
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:10:00,50.8518333333333,48.2545,61.494816666666665,73.1497333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:20:00,51.48100000000004,48.74916666666665,60.331450000000004,72.31444999999998
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:30:00,50.832166666666666,48.02866666666659,60.33313333333329,72.27556666666659
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:40:00,50.30049999999996,47.50016666666662,59.67766666666667,71.79048333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:50:00,53.232333333333386,50.41349999999995,61.52309999999994,73.53704999999998
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:00:00,49.851166666666686,46.92783333333329,58.606033333333315,71.03471666666657
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:10:00,52.23483333333332,48.664999999999985,60.558200000000056,72.55021666666667
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:20:00,51.51483333333335,48.28133333333333,59.38399999999999,71.77186666666672
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:30:00,51.33183333333334,48.20233333333336,60.66143333333344,72.62003333333338
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:40:00,51.76350000000003,48.8133333333333,60.189666666666646,72.46776666666658
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:50:00,52.39599999999999,48.967833333333346,59.60758333333337,72.26701666666663
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:00:00,49.28266666666666,46.372833333333375,58.100199999999994,70.94711666666666
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:10:00,47.08100000000004,43.94066666666663,55.666783333333356,69.36754999999998
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:20:00,47.0071666666667,43.80983333333333,53.87189999999999,68.73915000000005
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:30:00,49.65283333333332,46.63066666666673,56.19861666666667,70.28603333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:40:00,48.05733333333338,45.06449999999997,57.47159999999996,70.67348333333331
MP 01: Naamsestraat 35  Maxim,2022-07-01 05:50:00,47.837166666666654,44.5043333333334,54.05891666666668,68.69033333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:00:00,48.69816666666667,45.55633333333329,56.16326666666668,70.63258333333334
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:10:00,46.44949999999997,43.35600000000001,54.63653333333334,68.95708333333333
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:20:00,49.38816666666669,46.57733333333331,58.893083333333344,71.80919999999996
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:30:00,50.49616666666669,48.440833333333345,62.30906666666668,73.97576666666669
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:40:00,49.701333333333324,47.468666666666664,58.778366666666614,71.65444999999993
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:50:00,49.78966666666666,47.32299999999996,60.24046666666661,72.63166666666667
MP 01: Naamsestraat 35  Maxim,2022-07-01 07:00:00,53.71716666666662,51.03699999999999,62.5002333333333,74.59928333333328
MP 01: Naamsestraat 35  Maxim,2022-07-01 07:10:00,52.75716666666672,50.72499999999997,65.45094999999995,75.9191
MP 01: Naamsestraat 35  Maxim,2022-07-01 07:20:00,53.92000000000003,52.17033333333336,65.74135000000003,76.16061666666664
MP 01: Naamsestraat 35  Maxim,2022-07-01 07:30:00,52.613000000000014,50.600000000000016,65.03196666666665,75.5556666666667
