description,result_timestamp,lamax,laeq,lceq,lcpeak
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:00:00,61.89566666666669,59.34616666666668,65.01656666666665,77.77470000000004
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:10:00,64.11099999999998,61.35250000000001,66.74161666666663,79.48443333333333
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:20:00,62.693166666666706,60.31916666666664,65.57008333333334,78.1560500000001
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:30:00,65.04883333333332,62.527666666666704,67.20890000000004,79.99428333333339
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:40:00,62.13750000000004,59.808499999999995,66.37636666666673,78.73974999999993
MP 01: Naamsestraat 35  Maxim,2022-03-01 00:50:00,64.11349999999993,61.54033333333334,66.39623333333338,79.10955
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:00:00,68.13933333333335,65.49666666666666,68.72108333333331,81.89618333333333
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:10:00,67.89033333333334,65.4110000000001,68.88699999999997,81.8704
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:20:00,65.6261666666667,62.85750000000006,67.41946666666661,80.23364999999998
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:30:00,66.76899999999999,64.09400000000004,68.2435166666667,81.11173333333329
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:40:00,66.43483333333333,63.80866666666671,67.94906666666665,80.83470000000001
MP 01: Naamsestraat 35  Maxim,2022-03-01 01:50:00,66.72833333333325,64.2108333333334,69.02578333333334,81.68549999999988
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:00:00,65.00283333333323,62.6188333333333,66.69109999999999,79.45063333333333
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:10:00,66.94550000000002,64.24066666666666,68.54798333333328,81.42509999999993
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:20:00,65.56200000000001,62.991166666666636,67.42094999999993,80.14901666666665
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:30:00,67.11483333333335,64.57966666666667,68.2060833333333,81.04084999999998
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:40:00,65.18299999999995,62.34283333333333,67.82794999999993,80.50581666666665
MP 01: Naamsestraat 35  Maxim,2022-03-01 02:50:00,63.18600000000002,60.44483333333336,66.04738333333327,78.65541666666662
MP 01: Naamsestraat 35  Maxim,2022-03-01 03:00:00,63.87916666666679,61.231499999999976,66.07971666666667,78.74200000000003
MP 01: Naamsestraat 35  Maxim,2022-03-01 03:10:00,66.65633333333334,63.90400000000002,67.73693333333343,80.79521666666662
MP 01: Naamsestraat 35  Maxim,2022-03-01 03:20:00,64.77583333333325,62.25150000000003,67.22836666666667,79.81146666666659
MP 01: Naamsestraat 35  Maxim,2022-03-01 03:30:00,65.90666666666662,63.29349999999996,67.58900000000007,80.35708333333334
MP 01: Naamsestraat 35  Maxim,2022-03-01 03:40:00,65.56266666666673,62.81283333333323,68.2164333333333,81.06164999999997
