description,result_timestamp,lamax,laeq,lceq,lcpeak
MP 01: Naamsestraat 35  Maxim,2022-11-02 09:40:00,55.79243421052631,53.806250000000006,62.901315789473614,75.55440789473681
MP 01: Naamsestraat 35  Maxim,2022-11-02 09:50:00,54.67500000000001,52.11416666666671,61.90231666666668,75.06428333333342
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:00:00,54.349166666666676,52.22283333333334,63.05491666666665,75.44615
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:10:00,56.05333333333335,54.05083333333334,64.45860000000008,76.81960000000008
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:20:00,57.40916666666668,55.554333333333304,64.14271666666669,76.75088333333329
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:30:00,60.76583333333331,59.108833333333315,71.44869999999995,82.30730000000003
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:40:00,63.446666666666644,62.57316666666661,75.21325,85.23126666666668
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:50:00,58.280166666666666,56.75050000000003,65.63473333333327,77.98615000000005
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:00:00,54.038333333333306,52.031166666666635,62.09689999999988,74.3057166666667
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:10:00,54.5948333333333,52.65699999999999,63.62329999999998,75.44718333333334
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:20:00,57.51500000000006,55.40233333333334,65.23334999999997,77.24425000000011
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:30:00,55.52316666666668,53.39166666666668,63.35523333333333,75.34780000000003
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:40:00,55.06333333333336,52.69849999999999,63.2144833333333,75.34879999999997
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:50:00,55.05883333333339,52.825666666666656,63.398333333333284,75.4064166666667
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:00:00,54.86766666666668,52.79716666666666,63.8093666666667,75.66075
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:10:00,54.619500000000016,52.87550000000003,63.462416666666684,74.9631
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:20:00,54.62399999999997,52.76033333333331,63.81961666666664,75.25348333333332
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:30:00,54.17333333333336,52.25916666666667,62.20591666666668,74.02549999999998
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:40:00,54.891833333333345,52.884666666666575,63.48289999999997,75.29259999999992
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:50:00,54.657999999999966,52.53783333333336,61.89423333333335,74.00970000000007
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:00:00,53.90683333333331,51.67583333333337,61.68476666666672,73.60399999999993
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:10:00,53.19633333333329,50.930499999999995,62.36130000000001,74.2531333333334
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:20:00,55.64450000000006,53.41183333333329,62.19648333333327,74.64348333333342
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:30:00,55.965333333333376,53.927333333333344,63.12921666666656,75.25235000000004
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:40:00,55.5156666666667,53.50483333333332,63.255433333333336,75.1599333333334
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:50:00,56.10049999999997,53.92850000000004,63.721016666666706,75.45783333333347
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:00:00,56.16966666666669,53.74850000000001,63.56800000000004,75.41766666666668
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:10:00,55.095999999999975,52.63333333333326,61.59143333333325,73.749
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:20:00,56.3216666666667,54.40516666666662,64.29918333333336,75.8684000000001
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:30:00,59.79083333333328,57.11283333333334,64.36190000000003,77.03465000000004
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:40:00,56.27049999999998,54.296833333333346,63.6514166666667,75.62805000000007
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:50:00,55.0305,52.95749999999997,62.47268333333339,74.40056666666669
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:00:00,54.75483333333334,52.650000000000055,62.199983333333314,74.02051666666657
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:10:00,54.26533333333334,51.69166666666667,60.13890000000001,72.48486666666665
