description,result_timestamp,lamax,laeq,lceq,lcpeak
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:00:00,55.821666666666694,53.17799999999996,63.391949999999994,75.17619999999998
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:10:00,56.26949999999996,53.70733333333339,63.037850000000034,75.8992
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:20:00,58.338166666666595,56.102833333333365,63.06803333333331,78.06400000000008
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:30:00,60.18349999999994,57.357666666666674,65.20728333333334,78.29420000000007
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:40:00,57.66183333333334,55.27149999999999,64.39338333333338,76.65696666666673
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:50:00,57.3668333333333,55.117666666666665,63.262183333333354,76.4967
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:00:00,63.49399999999996,60.566666666666656,65.18143333333332,78.88459999999996
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:10:00,56.70399999999999,54.417666666666655,61.86361666666663,76.00249999999997
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:20:00,55.34416666666661,53.10016666666667,60.802850000000035,75.49696666666665
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:30:00,54.102833333333365,51.728000000000016,61.71281666666663,74.94481666666674
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:40:00,53.42766666666665,50.967666666666695,61.27896666666658,73.53323333333333
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:50:00,53.66500000000004,51.206666666666685,61.39148333333335,74.69468333333332
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:00:00,57.30933333333334,55.19733333333335,62.80164999999999,77.10395000000005
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:10:00,54.63700000000002,52.23733333333331,62.6271833333334,75.17380000000001
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:20:00,57.30799999999998,54.2511666666667,65.82835,77.18516666666656
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:30:00,52.09833333333325,49.575000000000045,61.32156666666662,73.40963333333337
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:40:00,50.24250000000002,47.91249999999998,61.01243333333344,72.7958
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:50:00,54.51416666666662,51.908333333333324,62.151333333333376,75.3579333333334
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:00:00,52.17416666666666,49.48233333333334,61.33614999999993,74.34615000000002
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:10:00,51.359666666666705,48.69749999999999,60.83305,73.42005
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:20:00,49.02533333333329,46.44466666666667,61.71233333333335,73.22890000000004
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:30:00,49.64233333333334,47.122833333333325,61.44005,73.1713500000001
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:40:00,50.15199999999998,47.48566666666666,60.814666666666646,73.12375000000003
MP 01: Naamsestraat 35  Maxim,2022-10-01 03:50:00,53.17916666666666,50.46216666666672,61.16991666666659,75.06489999999998
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:00:00,55.53883333333335,53.16300000000012,61.2112166666666,75.69530000000003
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:10:00,54.96500000000001,52.2213333333333,62.21551666666674,75.91144999999996
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:20:00,56.65216666666661,54.27666666666667,62.6017666666667,76.56536666666669
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:30:00,57.69533333333328,55.727500000000035,62.07796666666675,77.79854999999993
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:40:00,53.187999999999995,50.84233333333333,59.082283333333336,74.16701666666673
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:50:00,57.79749999999995,55.72950000000006,60.445549999999955,76.8714499999999
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:00:00,51.91450000000004,49.33250000000001,58.015333333333295,71.62313333333331
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:10:00,50.324000000000005,47.649499999999975,57.723999999999975,70.88718333333335
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:20:00,49.967000000000034,46.779000000000025,57.31710000000005,70.49945000000005
