description,result_timestamp,lamax,laeq,lceq,lcpeak
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:00:00,52.038833333333336,49.35200000000002,60.469483333333336,72.62544999999997
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:10:00,52.259666666666675,49.67900000000002,60.48033333333333,72.88588333333337
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:20:00,50.9135,48.444000000000024,59.81611666666667,71.89560000000003
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:30:00,53.134000000000015,50.34616666666666,60.714783333333386,72.91446666666673
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:40:00,50.61500000000001,48.067166666666665,59.68481666666666,71.67183333333335
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:50:00,48.07950000000001,45.37333333333339,57.74946666666669,70.10005000000001
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:00:00,47.16666666666665,44.12499999999998,55.73563333333329,69.25571666666666
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:10:00,47.26183333333331,44.62466666666663,56.463716666666635,69.40953333333337
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:20:00,51.33466666666668,48.07600000000004,58.40184999999997,71.20425000000003
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:30:00,46.65983333333335,43.828166666666675,56.79675000000002,69.22458333333331
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:40:00,48.55250000000003,45.662000000000006,59.234616666666646,71.33923333333335
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:50:00,48.664833333333334,45.80100000000003,58.71515000000003,70.77951666666662
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:00:00,47.54200000000002,44.57950000000001,60.208866666666665,71.49513333333326
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:10:00,48.743333333333275,45.69766666666663,58.956649999999996,70.95663333333346
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:20:00,47.64849999999998,44.317333333333345,56.76316666666664,69.6938666666667
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:30:00,46.79400000000002,43.55016666666663,58.29165000000003,70.56985000000002
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:40:00,44.96533333333331,41.49866666666671,55.628600000000006,68.9721
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:50:00,45.979666666666596,42.35116666666671,56.32944999999996,69.51566666666659
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:00:00,44.02350000000001,40.15766666666669,55.06724999999999,68.76491666666669
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:10:00,45.72366666666665,41.9555,56.83944999999997,69.84569999999998
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:20:00,47.428666666666686,43.85916666666667,57.866049999999944,70.3335166666667
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:30:00,47.18700000000003,43.375333333333266,57.84356666666667,71.1657666666667
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:40:00,44.85016666666662,41.09633333333334,58.36258333333335,70.19223333333328
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:50:00,45.20400000000006,40.9198333333333,54.44831666666668,69.41746666666664
MP 01: Naamsestraat 35  Maxim,2022-09-01 04:00:00,44.20649999999998,40.792999999999985,55.49334999999999,68.71591666666666
MP 01: Naamsestraat 35  Maxim,2022-09-01 04:10:00,43.20433333333338,39.48633333333333,52.97729999999999,67.53396666666666
MP 01: Naamsestraat 35  Maxim,2022-09-01 04:20:00,47.39999999999999,43.461000000000006,55.246499999999976,69.22385000000006
MP 01: Naamsestraat 35  Maxim,2022-09-01 04:30:00,43.99350000000001,40.66166666666669,54.2343833333333,68.18339999999996
